Titel,Status,Kategorie,ID,Datum,Beschreibung,Adresse,Koordinaten,Logbucheinträge
ID 1380,Kein Status,Wilde Müllkippe 🧹,1380,"26.05.2025, 09:04",Wieder eine wilde Müllkippe. Bisher ein Teil: ein Schreibtisch. Wir von der Kräuterei wären dankbar wenn sie das zeitnah abholen könnten. Danke im voraus,Lade Adresse ...,"53.15013265, 8.21314682512501","26.05.2025, 09:34: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1378,Bearbeitet,Straßen  🚧,1378,"26.05.2025, 01:20","Der Fußweg am Triftweg steht bei stärkeren Regenfällen bereichsweise unter Wasser, sodass Kinderwagen und Rollstuhlfahrer auf die Fahrbahn ausweichen müssen,
siehe Fotos im Bereich Triftweg 8, 3 und Einmündung Heidelberger Straße.
Der Fußweg wird nicht ausreichend gepflegt. Die Entwässerung muss überprüft werden.
Der Fußweg muss entweder eben ausgebessert werden oder das Begleitgrün muss abgesenkt werden, damit das Regenwasser versickern kann. Dieser Mangel besteht seit mehreren Jahren und wird zu wenig beachtet.
Der Mangel gefährdet die Verkehrssicherheit.","Triftweg 3, 26125 Oldenburg","53.1753611, 8.23058789863563","27.05.2025, 11:01: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 27.05.2025, 11:01: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1376,Bearbeitet,Straßen  🚧,1376,"26.05.2025, 00:42","im Seitengraben vom Triftweg am Haus Etzhorner Weg 71 und gegenüber im anderen Seitengraben des  Triftwegs wächst der  invasive japanische Riesenknöterich seit mehreren Jahren immer weiter.
Laut Merkblatt der Landwirtschaftskammer Niedersachsen
ist diese Pflanze so früh wie möglich zu beseitigen, weil sonst eine Bekämpfung wegen der unterirdischen Rhizome sehr aufwendig sein werde.","Etzhorner Weg 71, 26125 Oldenburg","53.17448825, 8.23425965","27.05.2025, 11:01: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 27.05.2025, 11:01: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1375,Bearbeitet,Straßen  🚧,1375,"26.05.2025, 00:27","Entwässerung vom Etzhorner Weg nördlich der Kreuzung mit Triftweg funktioniert nicht.
 Pfützenbildung in der Bankette führt zu Fahrbahnschäden, Straßenbegleitgrün sollte m.E. tiefergelegt werden,
damit das Regenwasser vesickern kann.","Etzhorner Weg 71, 26125 Oldenburg","53.17448825, 8.23425965","27.05.2025, 13:40: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 27.05.2025, 13:40: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1374,Bearbeitet,Straßen  🚧,1374,"26.05.2025, 00:15",Straßengraben mit Laub  verstopft,"Etzhorner Weg 63, 26125 Oldenburg","53.1742178, 8.23393101652348","27.05.2025, 08:49: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 27.05.2025, 08:48: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1372,Bearbeitet,Ampel 🚦,1372,"24.05.2025, 14:33",Die Gelbphase der Fußgängerampel an der Hauptstraße/Feststraße stadtauswärts ist mit einem Aufkleber bedeckt.,"Hauptstraße 52, 26131 Oldenburg","53.1332754, 8.19646675","27.05.2025, 08:37: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 27.05.2025, 08:37: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1369,Bearbeitet,Wilde Müllkippe 🧹,1369,"23.05.2025, 22:32","Kurz hinterm Ressourcen Zentrum,  gegenüber vom Subway sind die Fahrradständer eingewachsen und 2 gebrochen/ Platt gefahren und verrostet!
Gefahr für Tiere/Menschen und Do komplett nicht nutzbar!
Das muss schon ewig  so sein. 
Da habe ich such noch nie ytäder stehen sehen!
Und denke wegen dem Radweg geht das da auch nicht.
Platz ist ungeeignet,  da dort ja auch die Beifahrer vom PKW was denn da in der Parkbuchte  steht aus- und einsteigen müssen...","Friedensplatz 1, 26122 Oldenburg","53.1412776, 8.2080892","26.05.2025, 10:09: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen."
ID 1368,Bearbeitet,Straßen  🚧,1368,"23.05.2025, 18:07","Bitte Randstein entfernen. 
Da der Weg über die Jahre breiter geworden ist, was auch nötig ist, da hier vormittags und nachmittags viele Kinder und Spaziergänger unterwegs sind, befindet sich der ursprüngliche Randstein jetzt mitten auf dem Weg. 
Im Winter ist ein Kind am Randstein mit dem Fahrrad hängengeblieben, ist gestürzt und hat sich zum Glück nur leicht verletzt.","Rispenweg, 26135 Oldenburg","53.0977861, 8.2495741","27.05.2025, 08:44: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 27.05.2025, 08:44: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1365,Kein Status,Wilde Müllkippe 🧹,1365,"23.05.2025, 15:39","Wilhelm-Busch-Straße Ecke Annette-von-Droste-Hülshoff-Straße wurde Müll entsorgt. 4 Balkonkästen mit Erde und Pflanzen, 1 großer und ein kleiner Karton mit unbekanntem Inhalt.",Lade Adresse ...,"53.1240468, 8.1978276","26.05.2025, 08:43: Vielen Dank für die Meldung! Der Müll wurde entsorgt.; 26.05.2025, 06:54: Herzlichen Dank. Die Meldung wurde von uns bearbeitet. Der Abfall wird schnellstmöglich entsorgt.; 26.05.2025, 06:53: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1360,Kein Status,Wilde Müllkippe 🧹,1360,"23.05.2025, 13:44","Es wurde mal wieder Müll abgelegt, was drin ist weiß ich nicht , vermute plastik pso wie das beim näheren betrachten aussieht. Verstehe auch die Leute nicht, die sowas machen.",Lade Adresse ...,"53.149737, 8.2300166","26.05.2025, 06:55: Herzlichen Dank. Die Meldung wurde von uns bearbeitet. Der Abfall wird schnellstmöglich entsorgt.; 26.05.2025, 06:55: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1346,Bearbeitet,Straßen  🚧,1346,"23.05.2025, 07:58","Guten Tag,
wäre es möglich die Bordsteinkanten des Radweges in der Straße ""Schützenweg"" abzusenken? Wenn man als Radfahrer aus einer der Querstraßen (z.B. Grenadierweg) rechts auf den Schützenweg fahren möchte, muss man durch die unregelmäßig, hohen Bordsteine einen großen Bogen fahren, um gefahrenlos auf den Radweg zu kommen. Dadurch stört man ggf. den Gegenverkehr.
Vielen Dank!","Grenadierweg, 26129 Oldenburg","53.1497123, 8.1909039","28.05.2025, 14:40: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 28.05.2025, 14:37: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1339,Kein Status,Wilde Müllkippe 🧹,1339,"22.05.2025, 13:17",In der Straße liegen sehr viele Papkartons auf dem Gehweg und teilweise durch den Wind auch auf der Straße und müssten entfernt werden.,Lade Adresse ...,"53.1000025, 8.2327736","26.05.2025, 06:56: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1337,Bearbeitet,Straßen  🚧,1337,"22.05.2025, 10:49","verstopfter Gully, An der Feldwische 20
Anmerkung: Gully zu hoch","An der Feldwische 11, 26127 Oldenburg","53.1664932, 8.1856285","22.05.2025, 11:30: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 22.05.2025, 11:30: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1336,Bearbeitet,Straßen  🚧,1336,"22.05.2025, 10:46","Über die gesamte Länge des Teebkengangs bis zur Straße Am Schießstand sind die eckigen Gullys (Fangkörbe) stark verschmutzt und müssen gereinigt werden, da das Regenwasser nicht abfließt - ca. 5 Gullys","Teebkengang 1, 26122 Oldenburg","53.1330108, 8.19890404436384","22.05.2025, 12:08: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 22.05.2025, 12:08: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1332,Bearbeitet,Privates Grün an Straßen 🌲,1332,"22.05.2025, 09:42",Auf dem Geh- und Radweg ragen mehrere Äste über den Zaun,Lade Adresse ...,"53.14049925, 8.14732935862445","22.05.2025, 11:39: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 22.05.2025, 11:39: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1331,Bearbeitet,Ampel 🚦,1331,"22.05.2025, 09:23","Auf dem Langenweg, Ecke Stiekelkamp ist die Ampel defekt. Der Taster funktioniert nicht mehr und viele gehen bei Rot über die Straße.","Langenweg, 26125 Oldenburg","53.1847628, 8.2282901","22.05.2025, 09:31: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 22.05.2025, 09:30: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1330,Bearbeitet,Ampel 🚦,1330,"22.05.2025, 09:21",Drückampel Langenweg/Stiekelkamp nicht funktionsfähig,"Grafestraße, 26180 Rastede","53.2077323526051, 8.21631866056513","23.05.2025, 08:27: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 23.05.2025, 08:27: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1329,Bearbeitet,Wilde Müllkippe 🧹,1329,"22.05.2025, 09:14","An der Einmündung Ammergaustraße / Donnerschweer Straße liegt seit einigen Wochen ein größeres Plastikteil.

Vielen Dank für Ihre Bemühungen.",Lade Adresse ...,"53.15410045, 8.24173047266555","23.05.2025, 11:01: Vielen Dank für die Meldung! Der Müll wurde entsorgt.; 22.05.2025, 09:29: Herzlichen Dank. Die Meldung wurde von uns bearbeitet. Der Abfall wird schnellstmöglich entsorgt.; 22.05.2025, 09:27: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 22.05.2025, 09:23: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1327,Kein Status,Wilde Müllkippe 🧹,1327,"22.05.2025, 08:18",Vor dem Grundstück wurde ein Karton mit verschiedenem Müll entsorgt.,"Bürgerbuschweg 38, 26127 Oldenburg","53.1732103, 8.19792305","23.05.2025, 06:51: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1326,Kein Status,Wilde Müllkippe 🧹,1326,"22.05.2025, 07:40","Hallo, einer unserer Nachbarn (vermutlich mit Hund) lässt ihren Müll seit mehr als einer Woche offen auf dem Gehweg/Eingang des Hauses liegen... Ein Bild ist im Anhang zu sehen.",Lade Adresse ...,"53.1417217, 8.167071","22.05.2025, 09:50: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 22.05.2025, 09:41: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1324,Bearbeitet,Wilde Müllkippe 🧹,1324,"21.05.2025, 22:12","Auf dem öffenlich zugänglichen Parplatz stehen mehrere abgemeldete Autos.
Hier scheint gewerbsmäßig mit Autos gehandelt zu werden.","Burenkamp 8, 26127 Oldenburg","53.1692546, 8.2263672","22.05.2025, 10:49: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 22.05.2025, 10:07: Der Mangel wurde an die Untere Abfallbehörde weitergeleitet.; 22.05.2025, 10:03: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 22.05.2025, 10:02: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1322,Bearbeitet,Verkehrszeichen ⚠️,1322,"21.05.2025, 17:33",Stark verstecktes Verkehrsschild,"Eibenweg, 26131 Oldenburg","53.1211951704306, 8.1731874750181","22.05.2025, 11:36: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 22.05.2025, 11:36: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1316,Bearbeitet,Straßen  🚧,1316,"21.05.2025, 14:09",Frostschäden an der Sandkruger Straße zwischen dem Sprungweg und dem Westerholtsweg.,Lade Adresse ...,"53.1038551, 8.2060503","22.05.2025, 16:07: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen."
ID 1315,Kein Status,Wilde Müllkippe 🧹,1315,"21.05.2025, 14:01","Am Containerstellplatz Rauhehorst 25 (Einmündung Nedderend) wurde diverser Hausmüll entsorgt. U.a. Fahrradteile, Farbeimer, Elektrogerät pp.","Rauhehorst 25, 26121 Oldenburg","53.1574186, 8.1974959","22.05.2025, 10:21: Herzlichen Dank. Die Meldung wurde von uns bearbeitet. Der Abfall wird schnellstmöglich entsorgt.; 22.05.2025, 10:19: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 22.05.2025, 10:18: Herzlichen Dank. Die Meldung wurde von uns bearbeitet. Der Abfall wird schnellstmöglich entsorgt.; 22.05.2025, 10:17: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
ID 1314,Kein Status,Wilde Müllkippe 🧹,1314,"21.05.2025, 13:52","Am Containerstellplatz Brookweg/Kattowitzer Straße wurde diverser Hausmüll entsorgt, u.a. Teppiche, Spielzeug, Stühle, Katzenbaum (zerlegt), pp.",26127 Oldenburg,"53.1654418, 8.1811329","28.05.2025, 14:53: Vielen Dank für die Meldung! Der Müll wurde bereits entsorgt."
ID 1313,Kein Status,Wilde Müllkippe 🧹,1313,"21.05.2025, 13:50","Am Containerstellplatz Rostocker Str. 42 wurde eine Bettmatratze, Stuhl, diverses Mobilar entsorgt.",Lade Adresse ...,"53.159915, 8.2060996","28.05.2025, 14:53: Vielen Dank für die Meldung! Der Müll wurde bereits entsorgt."
ID 1311,Bearbeitet,Ampel 🚦,1311,"21.05.2025, 13:40",Die Bedarfsampel beim Altenheim geht gar nicht.,Lade Adresse ...,"53.1874326, 8.21255406567744","22.05.2025, 08:40: Die Meldung wurde an die zuständige Stelle weitergegeben. Der Mangel wird damit im Meldesystem der Stadt geschlossen.; 22.05.2025, 08:39: Dein Anliegen wurde geprüft und wird nun von uns bearbeitet."
