"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","block","M01","M02","M03","M04","M05","M06","M07","M08","P01","P01V","P01M","P01N","P01S","P02","P02V","P02M","P02N","P02S","P03","P03V","P03M","P03N","P03S","P04","P04V","P04M","P04N","P04S","P05","P05V","P05M","P05N","P05S","P06","P06V","P06M","P06N","P06S","P07","P07V","P07M","P07N","P07S","P08","P08V","P08M","P08N","P08S","K01","K02","K03","G00Q02[SQ001]","G00Q02[SQ002]","G00Q02[SQ003]","G00Q03[SQ001]","G00Q03[SQ002]","G00Q03[SQ003]","G00Q04[SQ001]","G00Q04[SQ002]","G00Q04[SQ003]","sex","age","educ","interviewtime","groupTime27792","blockTime","groupTime27793","M01Time","M02Time","M03Time","M04Time","M05Time","M06Time","M07Time","M08Time","groupTime27847","P01Time","P01VTime","P01MTime","P01NTime","P01STime","P02Time","P02VTime","P02MTime","P02NTime","P02STime","P03Time","P03VTime","P03MTime","P03NTime","P03STime","P04Time","P04VTime","P04MTime","P04NTime","P04STime","P05Time","P05VTime","P05MTime","P05NTime","P05STime","P06Time","P06VTime","P06MTime","P06NTime","P06STime","P07Time","P07VTime","P07MTime","P07NTime","P07STime","P08Time","P08VTime","P08MTime","P08NTime","P08STime","groupTime29373","K01Time","K02Time","K03Time","groupTime27791","G00Q02Time","G00Q03Time","G00Q04Time","groupTime29372","sexTime","ageTime","educTime"
"11","2025-07-06 08:39:35","6","de","1080122525","2025-07-06 08:31:34","2025-07-06 08:39:35","0","Abfall 🗑","Straßen 🚧","Abfall 🗑","Abfall 🗑","Abfall 🗑","Danke sagen 🙏","Abfall 🗑","Abfall 🗑",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sicher","Ja","Wilde Müllkippe und Abfall finde ich schwierig auseinander zu halten. Wenn es um die Menge geht, mit der die Reinigung zu rechnen hat, kann ich aber verstehen, warum da versucht wird, unterschiedlich zu kategorisieren. Ich fände dann aber die Unterscheidung in wenig und viel Müll vielleicht einfacher. 
","Nein","Ja","Nein","Ja","Nein","Nein","Nein","Ja","Nein","Männlich","33","Hochschulabschluss","481.18",,,"196.51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"218.9",,,,"13.59",,,,"52.18",,,
"12","2025-07-06 08:46:45","6","de","1850828875","2025-07-06 08:43:59","2025-07-06 08:46:45","0","Wilde Müllkippe 🧹","Straßen 🚧","Wilde Müllkippe 🧹","Abfall 🗑","Abfall 🗑","Verkehrszeichen ⚠️","Abfall 🗑","Abfall 🗑",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sicher","Nein",,"Ja","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Weiblich","33","Hochschulabschluss","166.54",,,"104.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20.05",,,,"27.69",,,,"13.9",,,
"13","2025-07-06 15:46:04","6","de","7579395","2025-07-06 15:40:43","2025-07-06 15:46:04","1",,,,,,,,,"Natur & öffentliche Plätze",,,"Umweltverschmutzung",,"Verkehr & Infrastruktur","Asphalt & Schlaglöcher",,,,"Müllentsorgung",,"Sperrmüll",,,"Müllentsorgung",,"Umweltverschmutzung",,,"Müllentsorgung",,"Umweltverschmutzung",,,"Verkehr & Infrastruktur","Ampeln, Verkehrsschilder & Straßenbeleuchtung",,,,"Natur & öffentliche Plätze",,,"Umweltverschmutzung",,"Müllentsorgung",,"Sperrmüll",,,"Unsicher","Ja","Mehrdeutigkeit, Interpretationsspielraum ob Kontext o. Inhalt gemeint sind -- zB bei Altkleidercontainer abgestellter Müll kann versch. Oberkategorien haben","Ja","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Männlich","31","Hochschulabschluss","318.77",,,,,,,,,,,,"149.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"141.66",,,,"16.31",,,,"11.43",,,
"14","2025-07-06 15:48:22","6","de","1627415702","2025-07-06 15:45:27","2025-07-06 15:48:22","0","Wilde Müllkippe 🧹","Straßen 🚧","Abfall 🗑","Abfall 🗑","Abfall 🗑","Verkehrszeichen ⚠️","Abfall 🗑","Abfall 🗑",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sicher","Ja","Abfall und wilde Müllkippe bin ich mir im Unterschied unsicher","Ja","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Weiblich","28","Hochschulabschluss","174.66",,,"112.78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31.25",,,,"16.08",,,,"14.55",,,
"15","2025-07-06 15:47:59","6","de","243359931","2025-07-06 15:45:31","2025-07-06 15:47:59","1",,,,,,,,,"Müllentsorgung",,"Umweltverschmutzung",,,"Verkehr & Infrastruktur","Asphalt & Schlaglöcher",,,,"Müllentsorgung",,"Sperrmüll",,,"Müllentsorgung",,"Altglas- & Altkleidercontainer",,,"Müllentsorgung",,"Sonstiges",,,"Verkehr & Infrastruktur","Ampeln, Verkehrsschilder & Straßenbeleuchtung",,,,"Müllentsorgung",,"Sonstiges",,,"Müllentsorgung",,"Sperrmüll",,,"Sicher","Nein",,"Ja","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Weiblich","21","Abitur","161.71",,,,,,,,,,,,"108.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10.34",,,,"29.95",,,,"12.88",,,
"16","2025-07-06 15:56:14","6","de","2004381418","2025-07-06 15:52:13","2025-07-06 15:56:14","1",,,,,,,,,"Müllentsorgung",,"Umweltverschmutzung",,,"Verkehr & Infrastruktur","Asphalt & Schlaglöcher",,,,"Müllentsorgung",,"Sperrmüll",,,"Müllentsorgung",,"Sperrmüll",,,"Müllentsorgung",,"Öffentliche Mülleimer",,,"Natur & öffentliche Plätze",,,"Aufkleber, Plakate & Sprüche",,"Müllentsorgung",,"Umweltverschmutzung",,,"Müllentsorgung",,"Sperrmüll",,,"Sicher","Ja","Mehrere passende Kategorien","Ja","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Weiblich","24","Hochschulabschluss","240.57",,,,,,,,,,,,"178.74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.42",,,,"16.17",,,,"15.24",,,
"17",,"2","de","727497531","2025-07-06 15:56:00","2025-07-06 15:56:00","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"18","2025-07-06 15:58:36","6","de","727497531","2025-07-06 15:56:01","2025-07-06 15:58:36","1",,,,,,,,,"Natur & öffentliche Plätze",,,"Umweltverschmutzung",,"Verkehr & Infrastruktur","Asphalt & Schlaglöcher",,,,"Müllentsorgung",,"Sperrmüll",,,"Müllentsorgung",,"Altglas- & Altkleidercontainer",,,"Müllentsorgung",,"Umweltverschmutzung",,,"Verkehr & Infrastruktur","Ampeln, Verkehrsschilder & Straßenbeleuchtung",,,,"Müllentsorgung",,"Sperrmüll",,,"Müllentsorgung",,"Altglas- & Altkleidercontainer",,,"Sicher","Ja","Die unterschiedliche müllensorgungsarten zu kategorisieren
","Ja","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Weiblich","20","Abitur","152.11",,,,,,,,,,,,"105.93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24.22",,,,"9.52",,,,"12.44",,,
"19","2025-07-06 17:19:02","6","de","1495422939","2025-07-06 16:04:28","2025-07-06 17:19:02","0","Wilde Müllkippe 🧹","Straßen 🚧","Wilde Müllkippe 🧹","Abfall 🗑","Wilde Müllkippe 🧹","Verkehrszeichen ⚠️","Wilde Müllkippe 🧹","Danke sagen 🙏",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Weder sicher noch unsicher","Ja","Abfall vs wilde Müllkippe, was gehört wozu?
Was bedeutet die Kategorie „Danke sagen“?
Das letzte Bild sah für mich aus wie die Stätte einer obdachlosen Person und deswegen für mich nicht als „Müll“ o.Ä. einzuordnen.","Ja","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Divers","22","Abitur","4474.61",,,"107.67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4335.86",,,,"14.89",,,,"16.19",,,
"20","2025-07-06 16:34:38","6","de","2080380768","2025-07-06 16:32:51","2025-07-06 16:34:38","0","Wilde Müllkippe 🧹","Straßen 🚧","Abfall 🗑","Wilde Müllkippe 🧹","Abfall 🗑","Verkehrszeichen ⚠️","Abfall 🗑","Wilde Müllkippe 🧹",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sicher","Nein",,"Ja","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Weiblich","21","Abitur","106.61",,,"63.45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11.78",,,,"18.76",,,,"12.62",,,
"21","2025-07-06 16:57:39","6","de","1146988668","2025-07-06 16:53:55","2025-07-06 16:57:39","1",,,,,,,,,"Müllentsorgung",,"Umweltverschmutzung",,,"Verkehr & Infrastruktur","Fahrradwege",,,,"Müllentsorgung",,"Sperrmüll",,,"Müllentsorgung",,"Altglas- & Altkleidercontainer",,,"Müllentsorgung",,"Umweltverschmutzung",,,"Verkehr & Infrastruktur","Sonstiges",,,,"Natur & öffentliche Plätze",,,"Umweltverschmutzung",,"Müllentsorgung",,"Sperrmüll",,,"Weder sicher noch unsicher","Nein",,"Ja","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Männlich","21","Abitur","220.75",,,,,,,,,,,,"186.33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11.1",,,,"12.81",,,,"10.51",,,
"22",,"2","de","1666086612","2025-07-06 17:17:28","2025-07-06 17:18:41","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",,,,"139.9",,,"139.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23",,"1","de","1666086612","2025-07-06 17:17:30","2025-07-06 17:17:30","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24","2025-07-06 17:23:08","6","de","1877005983","2025-07-06 17:20:41","2025-07-06 17:23:08","0","Wilde Müllkippe 🧹","Straßen 🚧","Abfall 🗑","Abfall 🗑","Abfall 🗑","Verkehrszeichen ⚠️","Abfall 🗑","Abfall 🗑",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sicher","Ja","","Ja","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Weiblich","19","Abitur","147.11",,,"100.56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14.36",,,,"17.11",,,,"15.08",,,
"25","2025-07-06 17:30:58","6","de","768928078","2025-07-06 17:29:06","2025-07-06 17:30:58","0","Wilde Müllkippe 🧹","Straßen 🚧","Wilde Müllkippe 🧹","Wilde Müllkippe 🧹","Wilde Müllkippe 🧹","Verkehrszeichen ⚠️","Wilde Müllkippe 🧹","Wilde Müllkippe 🧹",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sehr sicher","Nein",,"Ja","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Männlich","28","Ausbildung","112.84",,,"66.72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8.99",,,,"16.45",,,,"20.68",,,
"26",,"2","de","1210921703","2025-07-06 17:30:45","2025-07-06 17:30:45","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"27",,"2","de","1808222478","2025-07-06 17:53:24","2025-07-06 18:06:03","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sicher","",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",,,,"990.93",,,"508.2",,,,,,,,,"468.47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14.26",,,,,,,,,,,
"28","2025-07-06 18:28:48","6","de","1669099984","2025-07-06 18:25:36","2025-07-06 18:28:48","1",,,,,,,,,"Müllentsorgung",,"Umweltverschmutzung",,,"Verkehr & Infrastruktur","Fahrradwege",,,,"Müllentsorgung",,"Sperrmüll",,,"Müllentsorgung",,"Altglas- & Altkleidercontainer",,,"Müllentsorgung",,"Umweltverschmutzung",,,"Verkehr & Infrastruktur","Ampeln, Verkehrsschilder & Straßenbeleuchtung",,,,"Müllentsorgung",,"Umweltverschmutzung",,,"Müllentsorgung",,"Sperrmüll",,,"Sicher","Nein",,"Ja","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Männlich","26","Abitur","190.17",,,,,,,,,,,,"157.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12.35",,,,"10.85",,,,"9.37",,,
"29","2025-07-06 18:33:49","6","de","1238165133","2025-07-06 18:29:22","2025-07-06 18:33:49","1",,,,,,,,,"Müllentsorgung",,"Umweltverschmutzung",,,"Verkehr & Infrastruktur","Asphalt & Schlaglöcher",,,,"Müllentsorgung",,"Sperrmüll",,,"Müllentsorgung",,"Sperrmüll",,,"Müllentsorgung",,"Sperrmüll",,,"Verkehr & Infrastruktur","Ampeln, Verkehrsschilder & Straßenbeleuchtung",,,,"Müllentsorgung",,"Umweltverschmutzung",,,"Müllentsorgung",,"Sperrmüll",,,"Sicher","Ja","Manchmal gab es bei den Unterkategorien zur Müllentsorgung Probleme, Dinge korrekt einzuordnen. Es gibt ja schon Sachen, die wild herumliegen, aber nicht unbedingt Sperrmüll sind oder direkt Umweltverschmutzung.","Nein","Ja","Nein","Ja","Nein","Nein","Nein","Ja","Nein","Weiblich","21","Abitur","262.98",,,"60.75",,,,,,,,,"98.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73.06",,,,"10.69",,,,"19.61",,,
"30",,"1","de","1238165133","2025-07-06 18:29:23","2025-07-06 18:29:23","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31","2025-07-06 18:35:58","6","de","854253246","2025-07-06 18:33:38","2025-07-06 18:35:58","1",,,,,,,,,"Müllentsorgung",,"Umweltverschmutzung",,,"Verkehr & Infrastruktur","Asphalt & Schlaglöcher",,,,"Müllentsorgung",,"Sperrmüll",,,"Müllentsorgung",,"Sperrmüll",,,"Müllentsorgung",,"Sonstiges",,,"Verkehr & Infrastruktur","Ampeln, Verkehrsschilder & Straßenbeleuchtung",,,,"Müllentsorgung",,"Gefahrenstoffe",,,"Müllentsorgung",,"Sperrmüll",,,"Sicher","Nein",,"Ja","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Weiblich","21","Abitur","139.25",,,,,,,,,,,,"103.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11.72",,,,"13.4",,,,"10.4",,,
"32","2025-07-06 18:39:20","6","de","1299917716","2025-07-06 18:36:47","2025-07-06 18:39:20","0","Wilde Müllkippe 🧹","Straßen 🚧","Abfall 🗑","Wilde Müllkippe 🧹","Abfall 🗑","Verkehrszeichen ⚠️","Abfall 🗑","Wilde Müllkippe 🧹",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sicher","Nein",,"Ja","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Weiblich","21","Abitur","152.62",,,"84.34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13.81",,,,"35.87",,,,"18.6",,,
"33","2025-07-06 19:04:17","6","de","1880583869","2025-07-06 18:59:34","2025-07-06 19:04:17","0","Wilde Müllkippe 🧹","Straßen 🚧","Straßen 🚧","Wilde Müllkippe 🧹","Abfall 🗑","Verkehrszeichen ⚠️","Abfall 🗑","Wilde Müllkippe 🧹",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Weder sicher noch unsicher","Ja","Das Bild mit den Steinlatten an der Säule war sehr schwierig fand ich und generell der Begriff ""Wilde Müllkippe"" ist mir nicht ganz klar gewesen aber ich denke ich habe ihn richtig gedeutet","Ja","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Männlich","23","Abitur","282.79",,,"119.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"131.16",,,,"18.86",,,,"12.88",,,
"34","2025-07-06 19:09:55","6","de","1740099859","2025-07-06 19:07:17","2025-07-06 19:09:55","0","Abfall 🗑","Straßen 🚧","Wilde Müllkippe 🧹","Wilde Müllkippe 🧹","Wilde Müllkippe 🧹","Verkehrszeichen ⚠️","Wilde Müllkippe 🧹","Wilde Müllkippe 🧹",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Weder sicher noch unsicher","Ja","Unterscheidung zwischen Abfall und wilde Müllkippe","Ja","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Weiblich","25","Abitur","158.24",,,"85.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38.13",,,,"15.76",,,,"18.37",,,
"35",,"3","de","388815012","2025-07-06 19:46:11","2025-07-06 19:47:18","0","Wilde Müllkippe 🧹","Straßen 🚧","Wilde Müllkippe 🧹","Wilde Müllkippe 🧹","Wilde Müllkippe 🧹","Verkehrszeichen ⚠️","Wilde Müllkippe 🧹","Wilde Müllkippe 🧹",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",,,,"66.77",,,"66.77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
